,Key Communities,Shutoff,Latitude,Longitude,Day,High,Low,Humidity,Dewpoint,Pressure,Windspeed,Windgust,Cover
125,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
126,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
127,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
128,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
129,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
130,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
131,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
132,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
133,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
134,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
135,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
136,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
137,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
138,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
139,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
140,Oroville,True,39.5137752,-121.556359,2019-10-23,88.12,61.67,0.31,36.32,1020.9,4.62,10.78,0.02
141,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
